,Ticker,Fiscal Date,Revenue (USD),Fiscal Year,Total Revenue,Market Share
29,AZO,2015-08-31,10187340000,2015,1304704129000,0.007808161079254161
30,AZO,2014-08-31,9475313000,2014,1221769594000,0.007755400892715292
31,AZO,2013-08-31,9147530000,2013,1171525917068,0.007808218210736384
32,AZO,2012-08-31,8603863000,2012,1120003482000,0.007681996652935405
33,AZO,2011-08-31,8072973000,2011,1046792430000,0.007712104872596375
34,AZO,2010-08-31,7362618000,2010,980998252000,0.007505230498616628
35,AZO,2009-08-31,6816824000,2009,951927858000,0.007161072073594048
36,AZO,2008-08-31,6522706000,2008,907379923893,0.007188505970040803
37,AZO,2007-08-31,6169804000,2007,853341811000,0.007230167232483116
38,AZO,2006-08-31,5948355000,2006,767562923000,0.007749664322960008
39,AZO,2005-08-31,5710882000,2005,122693850000,0.046545788562344405
40,BBY,2025-01-31,41528000000,2025,1400430642000,0.029653735611420592
41,BBY,2024-01-31,43452000000,2024,2479997933000,0.017520982345109074
42,BBY,2023-01-31,46298000000,2023,2367952111000,0.019551915676389284
43,BBY,2022-01-31,51761000000,2022,2233563149000,0.02317418248200154
44,BBY,2021-01-31,47262000000,2021,2050036470000,0.023054224006073414
45,BBY,2020-01-31,43638000000,2020,1820831850000,0.02396596918051494
46,BBY,2019-01-31,42879000000,2019,1667848375000,0.025709171554638473
47,BBY,2018-01-31,42151000000,2018,1584911418000,0.026595177194944027
48,BBY,2017-01-31,39403000000,2017,1456241666000,0.027058008928031868
49,BBY,2016-01-31,39528000000,2016,1372156286000,0.028807214165981674
50,BBY,2015-01-31,40339000000,2015,1304704129000,0.030918120900650572
51,BBY,2014-01-31,42410000000,2014,1221769594000,0.0347119458597363
52,BBY,2013-01-31,41729451068,2013,1171525917068,0.03561974213292445
53,BBY,2012-01-31,50705000000,2012,1120003482000,0.04527218068059542
54,BBY,2011-01-31,50272000000,2011,1046792430000,0.048024802777757954
55,BBY,2010-01-31,49694000000,2010,980998252000,0.050656563249411375
56,BBY,2009-01-31,45015000000,2009,951927858000,0.04728824734111311
57,BBY,2008-01-31,40023000000,2008,907379923893,0.04410831554249771
58,BBY,2007-01-31,35934000000,2007,853341811000,0.04210973789962344
59,BBY,2006-01-31,30848000000,2006,767562923000,0.04018953896239722
60,KMX,2025-02-28,26353420000,2025,1400430642000,0.01881808295937015
61,KMX,2024-02-29,26536040000,2024,2479997933000,0.010700025047157972
62,KMX,2023-02-28,29684873000,2023,2367952111000,0.012536095160921098
63,KMX,2022-02-28,31900412000,2022,2233563149000,0.014282296882576298
64,KMX,2021-02-28,18950149000,2021,2050036470000,0.00924381067230477
65,KMX,2020-02-29,20319987000,2020,1820831850000,0.011159727352089102
66,KMX,2019-02-28,18173100000,2019,1667848375000,0.010896134368329495
67,KMX,2018-02-28,17120209000,2018,1584911418000,0.010801997389610579
68,KMX,2017-02-28,15875118000,2017,1456241666000,0.010901430971691481
69,KMX,2016-02-29,15149675000,2016,1372156286000,0.01104077950490838
70,KMX,2015-02-28,14268716000,2015,1304704129000,0.01093636149594802
71,KMX,2014-02-28,12574299000,2014,1221769594000,0.010291874230420568
72,KMX,2013-02-28,10962818000,2013,1171525917068,0.009357725544336955
73,KMX,2012-02-29,10003599000,2012,1120003482000,0.008931757053233876
74,KMX,2011-02-28,8975554000,2011,1046792430000,0.008574339804883762
75,KMX,2010-02-28,7470193000,2010,980998252000,0.007614889205735303
76,KMX,2009-02-28,6973966000,2009,951927858000,0.007326149709130584
77,KMX,2008-02-29,8199571000,2008,907379923893,0.009036535616548321
78,KMX,2007-02-28,7465656000,2007,853341811000,0.008748728708430764
79,KMX,2006-02-28,6259967000,2006,767562923000,0.008155640159810065
80,COST,2024-08-31,254453000000,2024,2479997933000,0.10260210164457423
81,COST,2023-08-31,242290000000,2023,2367952111000,0.10232048142970236
82,COST,2022-08-31,226954000000,2022,2233563149000,0.10161073802708946
83,COST,2021-08-31,195929000000,2021,2050036470000,0.0955734216767373
84,COST,2020-08-31,166761000000,2020,1820831850000,0.09158506316769448
85,COST,2019-08-31,152703000000,2019,1667848375000,0.0915568838804067
86,COST,2018-08-31,141576000000,2018,1584911418000,0.0893273897784488
87,COST,2017-08-31,129025000000,2017,1456241666000,0.08860136542748805
88,COST,2016-08-31,118719000000,2016,1372156286000,0.08652002779222774
89,COST,2015-08-31,116199000000,2015,1304704129000,0.0890615714453679
90,COST,2014-08-31,112640000000,2014,1221769594000,0.0921941424579273
91,COST,2013-08-31,105156000000,2013,1171525917068,0.08975985803470392
92,COST,2012-08-31,99137000000,2012,1120003482000,0.08851490338491644
93,COST,2011-08-31,88915000000,2011,1046792430000,0.08494043083593947
94,COST,2010-08-31,77946000000,2010,980998252000,0.07945579907108744
95,COST,2009-08-31,71422000000,2009,951927858000,0.07502879488163902
96,COST,2008-08-31,72483020000,2008,907379923893,0.07988166598288915
97,COST,2007-08-31,64400155000,2007,853341811000,0.07546818188192586
98,COST,2006-08-31,60151227000,2006,767562923000,0.0783665093734602
99,COST,2005-08-31,52935228000,2005,122693850000,0.4314415759225096
100,DG,2025-01-31,40612308000,2025,1400430642000,0.028999871026815192
101,DG,2024-01-31,38691609000,2024,2479997933000,0.015601468245255993
102,DG,2023-01-31,37844863000,2023,2367952111000,0.015982106573944985
103,DG,2022-01-31,34220449000,2022,2233563149000,0.015321012533413713
104,DG,2021-01-31,33746839000,2021,2050036470000,0.016461579827406682
105,DG,2020-01-31,27753973000,2020,1820831850000,0.015242468984711577
106,DG,2019-01-31,25625043000,2019,1667848375000,0.015364132246134185
107,DG,2018-01-31,23470967000,2018,1584911418000,0.014809008713949462
108,DG,2017-01-31,21986598000,2017,1456241666000,0.015098179452860128
109,DG,2016-01-31,20368562000,2016,1372156286000,0.01484419975174752
110,DG,2015-01-31,18909588000,2015,1304704129000,0.014493391704442134
111,DG,2014-01-31,17504167000,2014,1221769594000,0.014326896892803177
112,DG,2013-01-31,16022128000,2013,1171525917068,0.01367628984265144
113,DG,2012-01-31,14807188000,2012,1120003482000,0.013220662469333287
114,DG,2011-01-31,13035000000,2011,1046792430000,0.012452325433801618
115,DG,2010-01-31,11796380000,2010,980998252000,0.012024873618225367
116,DG,2009-01-31,10457668000,2009,951927858000,0.010985777873936325
117,DG,2008-01-31,9495246000,2008,907379923893,0.010464465600320796
118,DG,2007-01-31,9169822000,2007,853341811000,0.010745778399460143
119,DG,2006-01-31,8582237000,2006,767562923000,0.011181151072874321
120,DLTR,2025-01-31,17578500000,2025,1400430642000,0.012552210350735813
121,DLTR,2024-01-31,16781100000,2024,2479997933000,0.006766578220369831
122,DLTR,2023-01-31,15411500000,2023,2367952111000,0.006508366418563944
123,DLTR,2022-01-31,26321200000,2022,2233563149000,0.011784399295710265
124,DLTR,2021-01-31,25509300000,2021,2050036470000,0.012443339605563212
125,DLTR,2020-01-31,23610800000,2020,1820831850000,0.012967040311822314
126,DLTR,2019-01-31,22823300000,2019,1667848375000,0.013684277505141916
127,DLTR,2018-01-31,22245500000,2018,1584911418000,0.014035800201421731
128,DLTR,2017-01-31,20719200000,2017,1456241666000,0.014227858248906882
129,DLTR,2016-01-31,15498400000,2016,1372156286000,0.01129492329563981
130,DLTR,2015-01-31,8602200000,2015,1304704129000,0.006593218959606742
131,DLTR,2014-01-31,7840300000,2014,1221769594000,0.006417167392692537
132,DLTR,2013-01-31,7394500000,2013,1171525917068,0.006311853534155142
133,DLTR,2012-01-31,6630500000,2012,1120003482000,0.00592007088063678
134,DLTR,2011-01-31,5882400000,2011,1046792430000,0.005619452177352868
135,DLTR,2010-01-31,5231200000,2010,980998252000,0.005332527340731694
136,DLTR,2009-01-31,4644900000,2009,951927858000,0.004879466401749112
137,DLTR,2008-01-31,4242600000,2008,907379923893,0.004675659983524493
138,DLTR,2007-01-31,3969400000,2007,853341811000,0.004651594412499729
139,DLTR,2006-01-31,3393924000,2006,767562923000,0.004421688305025124
140,EBAY,2024-12-31,10283000000,2024,2479997933000,0.004146374423611264
141,EBAY,2023-12-31,10112000000,2023,2367952111000,0.004270356631380372
142,EBAY,2022-12-31,9795000000,2022,2233563149000,0.004385369629860418
143,EBAY,2021-12-31,10420000000,2021,2050036470000,0.005082836404368943
144,EBAY,2020-12-31,8894000000,2020,1820831850000,0.004884580638239605
145,EBAY,2019-12-31,7429000000,2019,1667848375000,0.004454241831185644
146,EBAY,2018-12-31,8650000000,2018,1584911418000,0.005457718268517137
147,EBAY,2017-12-31,9927000000,2017,1456241666000,0.006816863046686099
148,EBAY,2016-12-31,9298000000,2016,1372156286000,0.006776196046227929
149,EBAY,2015-12-31,8592000000,2015,1304704129000,0.006585401095178109
150,EBAY,2014-12-31,8790000000,2014,1221769594000,0.007194482530230655
151,EBAY,2013-12-31,8257000000,2013,1171525917068,0.007048072842182569
152,EBAY,2012-12-31,14072000000,2012,1120003482000,0.012564246652940316
153,EBAY,2011-12-31,11652000000,2011,1046792430000,0.01113114660181484
154,EBAY,2010-12-31,9156000000,2010,980998252000,0.009333349964011965
155,EBAY,2009-12-31,8727362000,2009,951927858000,0.009168091811428004
156,EBAY,2008-12-31,8541261000,2008,907379923893,0.009413103348545325
157,EBAY,2007-12-31,7672329000,2007,853341811000,0.008990921224179885
158,EBAY,2006-12-31,5969741000,2006,767562923000,0.007777526533808356
159,EBAY,2005-12-31,4552401000,2005,122693850000,0.0371037423636148
