Ticker,Fiscal Date,Revenue (USD)
DG,2017-01-31,21986598000
DG,2016-01-31,20368562000
DG,2015-01-31,18909588000
DG,2014-01-31,17504167000
DG,2013-01-31,16022128000
DG,2012-01-31,14807188000
DG,2011-01-31,13035000000
DG,2010-01-31,11796380000
DG,2009-01-31,10457668000
DG,2008-01-31,9495246000
DG,2007-01-31,9169822000
DG,2006-01-31,8582237000
DLTR,2025-01-31,17578500000
DLTR,2024-01-31,16781100000
DLTR,2023-01-31,15411500000
DLTR,2022-01-31,26321200000
DLTR,2021-01-31,25509300000
DLTR,2020-01-31,23610800000
DLTR,2019-01-31,22823300000
DLTR,2018-01-31,22245500000
DLTR,2017-01-31,20719200000
DLTR,2016-01-31,15498400000
DLTR,2015-01-31,8602200000
DLTR,2014-01-31,7840300000
DLTR,2013-01-31,7394500000
DLTR,2012-01-31,6630500000
DLTR,2011-01-31,5882400000
DLTR,2010-01-31,5231200000
DLTR,2009-01-31,4644900000
DLTR,2008-01-31,4242600000
DLTR,2007-01-31,3969400000
DLTR,2006-01-31,3393924000
EBAY,2024-12-31,10283000000
EBAY,2023-12-31,10112000000
EBAY,2022-12-31,9795000000
EBAY,2021-12-31,10420000000
EBAY,2020-12-31,8894000000
EBAY,2019-12-31,7429000000
EBAY,2018-12-31,8650000000
EBAY,2017-12-31,9927000000
EBAY,2016-12-31,9298000000
EBAY,2015-12-31,8592000000
EBAY,2014-12-31,8790000000
EBAY,2013-12-31,8257000000
EBAY,2012-12-31,14072000000
EBAY,2011-12-31,11652000000
EBAY,2010-12-31,9156000000
EBAY,2009-12-31,8727362000
EBAY,2008-12-31,8541261000
EBAY,2007-12-31,7672329000
EBAY,2006-12-31,5969741000
EBAY,2005-12-31,4552401000
FRT,2024-12-31,1202452000
FRT,2023-12-31,1132154000
FRT,2022-12-31,1074378000
FRT,2021-12-31,951224000
FRT,2020-12-31,835494000
FRT,2019-12-31,935788000
FRT,2018-12-31,915436000
FRT,2017-12-31,857348000
FRT,2016-12-31,801591000
FRT,2015-12-31,744012000
FRT,2014-12-31,686090000
FRT,2013-12-31,637413000
FRT,2012-12-31,608018000
FRT,2011-12-31,553059000
FRT,2010-12-31,544674000
FRT,2009-12-31,531019000
FRT,2008-12-31,520525000
FRT,2007-12-31,485892000
FRT,2006-12-31,451022000
FRT,2005-12-31,410330000
HD,2025-01-31,159514000000
HD,2024-01-31,152669000000
HD,2023-01-31,157403000000
HD,2022-01-31,151157000000
HD,2021-01-31,132110000000
HD,2020-01-31,110225000000
HD,2019-01-31,108203000000
HD,2018-01-31,100904000000
HD,2017-01-31,94595000000
HD,2016-01-31,88519000000
HD,2015-01-31,83176000000
HD,2014-01-31,78812000000
HD,2013-01-31,74754000000
HD,2012-01-31,70395000000
HD,2011-01-31,67997000000
HD,2010-01-31,66176000000
